data,date,time,alertDate,category,category_desc,matrix_id,rid
Ramat Migron,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465267
Ofarim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465266
Neria,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465265
Nofei Nehemiah,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465264
Elisha preparatory,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465263
Migron,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465262
Kerem Reim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465261
Yevo Dodi,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465260
Tal Menashe,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465259
Horasha,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465258
Hermesh South,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465257
Homesh,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465256
Havat Shaharit,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465255
Havat Shuviel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465254
Havat Sade,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465253
Havat Zrida,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465252
Havat Olam Hesed,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465251
Havat Hanal Shilo,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465250
Havat Nof Avi,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465249
Havat Neve Zuf,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465248
Havat Marom Shmuel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465247
Havat Maginzi,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465246
Havat Megadlim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465245
Havat Elchai,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465244
Havat El Naveh,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465243
Havat Avia,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465242
Dorot Illit,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465241
Gofna,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465240
Givat Porat Yosef,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465239
Givat Ha-Roe,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465238
Esh Kodesh,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465237
Ariel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465236
Achita,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465235
Evyatar,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465234
Tel Zion,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465233
Shaked,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465232
Shilo,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465231
Shavei Shomron,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465230
Shvut Rachel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465229
Reihan,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465228
Rechelim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465227
Kdumim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465226
Psagot,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465225
Paduel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465224
Ofra,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465223
Einav,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465222
Amichai,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465221
Eli,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465220
Alei Zahav - Leshem,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465219
Atteret,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465218
Na'aleh,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465217
Nili,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465216
Nachliel,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465215
Neveh Tzuf,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465214
Ma'aleh Levona,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465213
Megadlim,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465212
Mevo Dotan,2026-03-12,09:38:07.0,2026-03-12T09:38:00.0,13,The event has ended,10,465211
